DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
7.2,7.7,125.0,3.3,1.0,39.0,89.0,77.98234811594205
7.1,7.5,127.0,3.4,4.4,17.0,63.0,75.75688840579708
7.1,7.4,5300.0,38.0,1.0,388.0,667.0,389.39839507246376
7.2,7.6,127.0,3.2,1.0,22.0,51.0,74.97752811594202
7.0,7.6,126.0,3.3,1.0,20.0,63.0,76.78312202898549
7.2,7.6,126.0,3.4,1.89,29.0,64.0,77.00257478260869
7.1,7.8,112.0,3.2,0.63,43.0,88.0,79.35910173913042
6.8,7.7,9590.0,3.6,4.57,3.0,124.0,84.247015942029
6.8,7.4,174.0,3.7,2.26,4.0,124.0,77.622235942029
6.8,7.6,2572.0,3.3,4.22,4.0,118.0,78.29396927536231
6.7,7.8,6030.0,4.4,4.78,4.0,138.0,92.81064289855074
6.8,7.7,7207.0,3.9,4.25,3.0,120.0,86.34248927536233
6.8,8.1,167.0,3.8,1.0,32.0,85.0,91.13035594202898
6.8,8.0,173.0,3.5,1.0,53.0,98.0,87.207035942029
7.0,8.0,168.0,3.6,1.0,44.0,83.0,86.92676202898551
6.9,7.9,131.0,3.5,0.75,41.0,96.0,84.68773565217391
7.0,7.6,125.0,3.5,0.6,33.0,63.0,78.79686869565217
7.2,7.5,132.0,3.3,0.9,38.0,88.0,74.4786347826087
7.2,7.7,119.0,3.3,1.0,35.0,68.0,77.88800811594203
6.9,7.5,159.0,2.8,1.0,3.0,82.0,70.73794898550723
6.7,7.7,141.0,3.3,3.0,4.0,90.0,79.83668956521738
7.3,7.7,132.0,2.9,2.0,3.0,88.0,73.27551449275363
6.4,7.3,76.0,1.7,0.62,199.0,788.0,64.36129710144928
6.0,7.1,85.0,1.7,0.53,262.0,538.0,64.14308492753624
6.3,7.1,69.0,1.3,0.57,248.0,593.0,58.86257739130436
6.5,7.3,76.0,1.6,0.55,226.0,545.0,63.530596811594194
6.7,6.6,60.0,1.2,0.34,228.0,435.0,46.86914289855073
7.0,6.6,3544.0,1.5,0.37,208.0,435.0,48.4092420289855
6.7,7.3,51.0,0.8,0.35,547.0,1567.0,62.77839623188407
6.9,7.7,107.0,0.7,0.46,255.0,443.0,61.19888898550724
6.7,7.9,173.0,0.9,0.56,191.0,426.0,66.01077623188408
5.6,6.9,126.0,1.2,0.67,266.0,990.0,58.38159942028986
7.3,7.4,70.0,0.8,0.31,2984.0,4208.0,116.06640115942032
6.9,7.4,12754.0,0.8,0.29,1807.0,2557.0,94.40412231884058
7.1,7.4,80.0,0.6,0.5,1921.0,2831.0,91.48590840579712
7.2,6.9,62.0,1.3,0.11,33.0,150.0,46.16000144927537
3.4,6.7,2965.0,2.3,1.11,271.0,1236.0,76.06801913043478
6.1,7.2,15871.0,0.9,0.25,1667.0,2975.0,93.34534463768117
6.4,7.2,120.0,1.9,0.77,258.0,618.0,65.68827710144927
6.2,7.2,7448.0,2.0,1.01,184.0,483.0,67.50895101449275
6.6,6.9,77.0,1.6,0.29,264.0,756.0,56.9635231884058
6.8,7.0,72.0,1.7,0.2,249.0,785.0,58.28648927536233
2.9,6.7,305.0,2.2,1.28,403.0,1623.0,80.02398057971016
3.0,6.6,86.0,2.0,0.39,357.0,1319.0,74.80752695652176
6.7,7.1,79.0,1.6,0.34,313.0,738.0,61.03928289855073
6.1,7.8,2905.0,1.3,0.54,422.0,997.0,76.53167130434782
6.9,7.4,112.0,0.5,0.35,50.0,67.0,49.59634231884058
7.0,6.9,51.0,1.1,0.18,44.0,317.0,45.63684869565218
3.1,7.2,1416.0,13.2,4.41,2992.0,19917.0,246.94202
7.0,7.1,30.0,0.5,0.32,211.0,496.0,47.53841536231884
6.1,7.0,59.0,1.8,0.58,89.0,282.0,58.931324637681165
6.0,6.4,61.0,2.1,0.28,87.0,300.0,51.57941159420292
6.3,7.0,105.0,2.8,0.37,142.0,543.0,68.03703072463767
6.9,8.1,502.0,0.9,0.72,382.0,615.0,72.8731556521739
5.9,6.7,14662.0,1.5,0.52,144.0,377.0,56.47239855072464
7.8,6.8,49.0,1.4,0.3,122.0,319.0,44.44467304347826
7.1,7.4,380.0,1.0,0.14,1527.0,66382.0,100.3271684057971
7.3,7.2,67.0,0.9,0.38,6490.0,3471.0,190.80705449275365
6.2,7.2,51.0,0.8,0.23,331.0,942.0,58.52361101449275
7.2,6.8,69.0,1.2,0.45,706.0,941.0,58.62483478260869
6.9,6.7,75.0,2.5,0.4,526.0,701.0,65.80474898550725
6.3,7.4,113.0,0.6,0.88,98.0,128.0,54.50045072463768
7.6,6.8,79.0,1.6,0.31,48.0,109.0,45.50334028985508
7.0,7.2,57.0,0.6,0.46,2117.0,3558.0,92.97710202898551
6.8,7.2,105.0,0.6,0.39,1200.0,2392.0,73.41996260869567
6.3,6.7,2315.0,1.3,0.17,55.0,278.0,48.03436405797103
6.4,6.9,18569.0,1.0,0.27,40.0,277.0,51.62477043478261
6.6,7.3,45.0,0.6,0.39,228.0,940.0,54.30429652173913
6.9,7.2,42.0,0.5,0.18,151.0,774.0,48.47799565217391
6.0,7.3,92.0,1.7,0.56,256.0,597.0,67.50028492753623
6.1,7.2,59.0,0.7,1.04,181.0,311.0,54.755997971014494
4.5,6.9,1190.0,0.7,1.17,218.0,388.0,58.34306260869565
4.2,7.0,69.0,0.6,1.04,240.0,420.0,60.86953014492753
6.0,7.0,5569.0,2.2,0.68,473.0,1894.0,73.01738492753624
7.3,7.0,34.0,1.0,0.27,234.0,927.0,49.38368782608696
6.3,7.0,44.0,1.6,0.32,487.0,1876.0,65.31350405797102
6.4,7.2,49.0,1.4,0.23,362.0,1357.0,63.64859710144927
5.9,7.0,3272.0,2.2,0.62,330.0,1284.0,69.69207188405798
4.6,7.0,65.0,1.7,0.28,631.0,1937.0,77.57324898550726
6.5,6.9,4650.0,2.0,1.0,340.0,1573.0,63.92843681159421
6.5,7.0,42.0,1.4,1.0,249.0,1221.0,57.2509368115942
6.4,6.4,45.0,1.2,1.0,142.0,376.0,42.99568376811594
6.0,6.1,56.0,1.2,0.0,136.0,438.0,39.48615826086956
5.3,6.8,99.0,2.8,0.79,106.0,523.0,68.62050028985506
6.9,6.7,66.0,1.8,0.0,93.0,205.0,49.88421565217392
6.0,6.6,67.0,1.5,3.69,168.0,398.0,51.92601826086957
4.9,6.8,9107.0,1.6,1.0,208.0,614.0,64.20138811594202
6.6,6.8,15525.0,1.1,0.06,149.0,347.0,51.54345652173914
